id,location,area
0,"サンヨウシティ",
1,"ホドモエシティ",
2,"セッカシティ",
3,"夢の跡地",
4,"夢の跡地",
5,"ヤグルマの森",
6,"ヤグルマの森",
7,"リゾートデザート",
8,"リゾートデザート",
9,"Ancient Castle",
10,"Ancient Castle",
11,"Ancient Castle",
12,"Ancient Castle",
13,"Ancient Castle",
14,"Ancient Castle",
15,"Ancient Castle",
16,"Ancient Castle",
17,"Ancient Castle",
18,"Ancient Castle",
19,"Ancient Castle",
20,"Ancient Castle",
21,"Ancient Castle",
22,"Ancient Castle",
23,"Ancient Castle",
24,"Ancient Castle",
25,"Ancient Castle",
26,"Ancient Castle",
27,"Ancient Castle",
28,"Ancient Castle",
29,"Ancient Castle",
30,"Ancient Castle",
31,"Ancient Castle",
32,"Ancient Castle",
33,"Ancient Castle",
34,"Ancient Castle",
35,"Ancient Castle",
36,"Ancient Castle",
37,"Ancient Castle",
38,"Ancient Castle",
39,"Ancient Castle",
40,"冷凍コンテナ",
41,"電気石の洞穴",
42,"電気石の洞穴",
43,"電気石の洞穴",
44,"ネジ山",
45,"ネジ山",
46,"ネジ山",
47,"ネジ山",
48,"リュウラセンの塔",
49,"リュウラセンの塔",
50,"リュウラセンの塔",
51,"リュウラセンの塔",
52,"Victory Road",
53,"Victory Road",
54,"Victory Road",
55,"Victory Road",
56,"Victory Road",
57,"Victory Road",
58,"Victory Road",
59,"Victory Road",
60,"Victory Road",
61,"Victory Road",
62,"Victory Road",
63,"Victory Road",
64,"Victory Road",
65,"Victory Road",
66,"Victory Road",
67,"試練の室",
68,"ジャイアントホール",
69,"ジャイアントホール",
70,"ジャイアントホール",
71,"ジャイアントホール",
72,"Ｐ２ラボ",
73,"サザナミ湾",
74,"ホドモエの跳ね橋",
75,"ビレッジブリッジ",
76,"ワンダーブリッジ",
77,"Route 1",
78,"Route 2",
79,"Route 3",
80,"地下水脈の穴",
81,"地下水脈の穴",
82,"Route 4",
83,"Route 5",
84,"Route 6",
85,"フキヨセの洞穴",
86,"フキヨセの洞穴",
87,"導の間",
88,"Route 7",
89,"Tower of Heaven",2F
90,"Tower of Heaven",3F
91,"Tower of Heaven",4F
92,"Tower of Heaven",5F
93,"Route 8",
94,"セッカの湿原",
95,"Route 9",
96,"修行の岩屋",
97,"修行の岩屋",
98,"修行の岩屋",
99,"Route 10",
100,"Route 10",
101,"Route 11",
102,"Route 12",
103,"Route 13",
104,"Route 14",
105,"ほうじょうの社",
106,"Route 15",
107,"Route 16",
108,"迷いの森",
109,"Route 18",
110,"サザナミタウン",
111,"Route 17",
