id,location,area,terrain
0,Canalave City,,
1,Eterna City,,
2,Pastoria City,,
3,Sunyshore City,,
4,Pokemon League,,
5,Oreburgh Mine,1F,cave
6,Oreburgh Mine,B1F,cave
7,Valley Windworks,,grass
8,Eterna Forest,,grass
9,Fuego Ironworks,,grass
10,Mt. Coronet,Route 207,cave
11,Mt. Coronet,2F,cave
12,Mt. Coronet,3F,cave
13,Mt. Coronet,snowfall,grass
14,Mt. Coronet,blizzard,grass
15,Mt. Coronet,4F,cave
16,Mt. Coronet,5F,cave
17,Mt. Coronet,6F,cave
18,Mt. Coronet,7F,cave
19,Mt. Coronet,cave,cave
20,Mt. Coronet,Route 216,cave
21,Mt. Coronet,Route 211,cave
22,Mt. Coronet,B1F,cave
23,Great Marsh,Area 1,marsh
24,Great Marsh,Area 2,marsh
25,Great Marsh,Area 3,marsh
26,Great Marsh,Area 4,marsh
27,Great Marsh,Area 5,marsh
28,Great Marsh,Area 6,marsh
29,Solaceon Ruins,2F,floor
30,Solaceon Ruins,1F,floor
31,Solaceon Ruins,B1F a,floor
32,Solaceon Ruins,B1F b,floor
33,Solaceon Ruins,B1F c,floor
34,Solaceon Ruins,B2F a,floor
35,Solaceon Ruins,B2F b,floor
36,Solaceon Ruins,B2F c,floor
37,Solaceon Ruins,B3F a,floor
38,Solaceon Ruins,B3F b,floor
39,Solaceon Ruins,B3F c,floor
40,Solaceon Ruins,B3F d,floor
41,Solaceon Ruins,B3F e,floor
42,Solaceon Ruins,B4F a,floor
43,Solaceon Ruins,B4F b,floor
44,Solaceon Ruins,B4F c,floor
45,Solaceon Ruins,B4F d,floor
46,Solaceon Ruins,B5F,floor
47,Victory Road,1F,cave
48,Victory Road,2F,cave
49,Victory Road,B1F,cave
50,Victory Road,inside B1F,cave
51,Victory Road,inside,cave
52,Victory Road,inside exit,cave
53,Ravaged Path,,cave
54,Oreburgh Tunnel,1F,cave
55,Oreburgh Tunnel,B1F,cave
56,Stark Mountain,,grass
57,Stark Mountain,entrance,cave
58,Stark Mountain,inside,cave
59,Spring Path,,grass
60,Turnback Cave,up to Pillar 2 (alternate),cave
61,Turnback Cave,up to Pillar 2,cave
62,Turnback Cave,up to Pillar 2,cave
63,Turnback Cave,up to Pillar 1,cave
64,Turnback Cave,up to Pillar 1,cave
65,Turnback Cave,up to Pillar 1,cave
66,Turnback Cave,up to Pillar 1,cave
67,Turnback Cave,up to Pillar 1,cave
68,Turnback Cave,up to Pillar 1,cave
69,Turnback Cave,up to Pillar 2 (alternate),cave
70,Turnback Cave,up to Pillar 2 (alternate),cave
71,Turnback Cave,up to Pillar 2 (alternate),cave
72,Turnback Cave,up to Pillar 2 (alternate),cave
73,Turnback Cave,up to Pillar 2 (alternate),cave
74,Turnback Cave,up to Pillar 2 (alternate),cave
75,Turnback Cave,up to Pillar 3,cave
76,Turnback Cave,up to Pillar 3,cave
77,Turnback Cave,up to Pillar 3,cave
78,Turnback Cave,up to Pillar 3,cave
79,Turnback Cave,up to Pillar 3,cave
80,Turnback Cave,up to Pillar 3,cave
81,Turnback Cave,up to Pillar 2,cave
82,Turnback Cave,up to Pillar 2,cave
83,Turnback Cave,up to Pillar 2,cave
84,Turnback Cave,up to Pillar 2,cave
85,Turnback Cave,up to Pillar 2,cave
86,Turnback Cave,up to Pillar 2,cave
87,Turnback Cave,up to Pillar 2,cave
88,Turnback Cave,up to Pillar 2,cave
